,title,url,author
0,Intel announces two new 11th-gen chips and a 5G M.2 laptop module at Computex,https://search.techcrunch.com/click/_ylt=A2KLfRzC0c1gRJ0AW0anBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130114/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2021%2f05%2f30%2fintel-announces-two-new-11th-gen-chips-and-a-5g-m-2-laptop-module-at-computex%2f/RK=2/RS=_08Z4gqPwSfSxZgmW7lkpGErhr8-,By Catherine Shu
1,China expresses concern over its absence in India’s 5G trials,https://search.techcrunch.com/click/_ylt=A2KLfRzC0c1gRJ0AXUanBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130114/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2021%2f05%2f05%2fchina-expresses-concern-over-its-absence-in-indias-5g-trials%2f/RK=2/RS=zrM17tNLRWKqtbd6i9b1Lv_ypmk-,By Manish Singh
2,"India grants approval for 5G trials, avoids Chinese firms",https://search.techcrunch.com/click/_ylt=A2KLfRzC0c1gRJ0AX0anBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130114/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2021%2f05%2f04%2findia-grants-approval-for-5g-trials-avoids-chinese-firms%2f/RK=2/RS=e5YGl4KO42IhDeA5WOFTMRFU9Y4-,By Manish Singh
3,Verizon and Honda want to use 5G and edge computing to make driving safer,https://search.techcrunch.com/click/_ylt=A2KLfRzC0c1gRJ0AYUanBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130114/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2021%2f04%2f08%2fverizon-and-honda-want-to-use-5g-and-edge-computing-to-make-driving-safer%2f/RK=2/RS=V9RjJlk.dICSyGfhpwib4aIceZY-,By Rebecca Bellan
4,"As the smartphone market declines, 5G models are set to see continued growth in 2020",https://search.techcrunch.com/click/_ylt=A2KLfRzC0c1gRJ0AY0anBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130114/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2020%2f09%2f09%2fas-the-smartphone-market-declines-5g-models-are-set-to-see-continued-growth-in-2020%2f/RK=2/RS=mv4YPcUXqXGWp46ff1Cir65msCU-,By Brian Heater
5,"Google denies Pixel 5a 5G cancelation, confirming it’s coming this year",https://search.techcrunch.com/click/_ylt=A2KLfRzC0c1gRJ0AZUanBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130114/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2021%2f04%2f09%2fgoogle-denies-pixel-5a-5g-cancelation-confirming-its-coming-this-year%2f/RK=2/RS=g3hUcUBuKX25CM1vyKQWxTs90Sk-,By Brian Heater
6,"Pixel 5 and 4a 5g get the same, improved cameras with rear ultrawide lens, Night Sight portraits and...",https://search.techcrunch.com/click/_ylt=A2KLfRzC0c1gRJ0AZ0anBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130114/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2020%2f09%2f30%2fpixel-5-and-4a-5g-get-the-same-improved-cameras-with-rear-ultrawide-lens-night-sight-portraits-and-more%2f/RK=2/RS=Ktm9e0KczKRapSsfjSumb8thZFA-,By Darrell Etherington
7,"Apple unveils its flagship 5G phones, the iPhone 12 Pro and Pro Max",https://search.techcrunch.com/click/_ylt=A2KLfRzC0c1gRJ0AaUanBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130114/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2020%2f10%2f13%2fapple-unveils-its-flagship-5g-phones-the-iphone-12-pro-and-pro-max%2f/RK=2/RS=IrNWsvJucT00fCsX.ddnDdk0kYE-,By Sarah Perez
8,Not even 5G could rescue smartphone sales in 2020,https://search.techcrunch.com/click/_ylt=A2KLfRzC0c1gRJ0Aa0anBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130114/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2020%2f12%2f24%2fnot-even-5g-could-rescue-smartphone-sales-in-2020%2f/RK=2/RS=WkPujH5OTjcIYoeQzdpBulFg1Wg-,By Brian Heater
9,The Galaxy Tab S7 will bring 5G to Samsung’s tablet line,https://search.techcrunch.com/click/_ylt=A2KLfRzC0c1gRJ0AbUanBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130114/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2020%2f08%2f05%2fthe-galaxy-tab-s7-will-bring-5g-to-samsungs-tablet-line%2f/RK=2/RS=G3.9iGVVOt1O4pxLs_QAacFMjXk-,By Brian Heater
10,EdgeQ reveals more details behind its next-gen 5G/AI chip,https://search.techcrunch.com/click/_ylt=AwrE19jD0c1gbiIADXOnBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130115/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2021%2f01%2f26%2fedgeq-reveals-more-details-behind-its-next-gen-5g-ai-chip%2f/RK=2/RS=Frnc_2HPR0H5Nh1nSqrYLz8D0H4-,By Danny Crichton
11,EdgeQ raises $51 million to fuse AI compute and 5G within a single chip,https://search.techcrunch.com/click/_ylt=AwrE19jD0c1gbiIAD3OnBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130115/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2020%2f11%2f17%2fedgeq-raises-51-million-to-fuse-ai-compute-and-5g-within-a-single-chip%2f/RK=2/RS=7JxTXeWxCWoO1lOMNF5Gi61ssgI-,By Danny Crichton
12,"BlackBerry’s smartphone brand switches hands again, set to return as a 5G Android handset",https://search.techcrunch.com/click/_ylt=AwrE19jD0c1gbiIAEXOnBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130115/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2020%2f08%2f19%2fblackberrys-brand-switches-hands-again-set-to-return-as-a-5g-android-handset%2f/RK=2/RS=Lcyh1ucFNBhere0afuR0lxpnJxU-,By Brian Heater
13,Trump administration announces major midband spectrum auction for 5G,https://search.techcrunch.com/click/_ylt=AwrE19jD0c1gbiIAE3OnBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130115/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2020%2f08%2f10%2ftrump-administration-announces-major-midband-spectrum-auction-for-5g%2f/RK=2/RS=NLSyhoo6vASEUaTod7Z6i64nIvk-,By Danny Crichton
14,Omnispace raises $60M to fuse satellites and 5G into one ubiquitous network,https://search.techcrunch.com/click/_ylt=AwrE19jD0c1gbiIAFXOnBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130115/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2021%2f02%2f02%2fomnispace-raises-60m-to-fuse-satellites-and-5g-into-one-ubiquitous-network%2f/RK=2/RS=ghVnh4laX9poV4tp2bWL7tASTC4-,By Danny Crichton
15,UK shrinks timetable for telcos to stop installing 5G kit from Huawei,https://search.techcrunch.com/click/_ylt=AwrE19jD0c1gbiIAF3OnBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130115/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2020%2f11%2f30%2fuk-shrinks-timetable-for-telcos-to-stop-installing-5g-kit-from-huawei%2f/RK=2/RS=o9zs8QycIMb6PPrtzSYJsqvS_Lc-,By Natasha Lomas
16,TCL announces a $400 5G handset,https://search.techcrunch.com/click/_ylt=AwrE19jD0c1gbiIAGXOnBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130115/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2020%2f10%2f27%2ftcl-announces-a-400-5g-handset%2f/RK=2/RS=Z9ztw7KvTc0yUycBMoAuKuXvZ98-,By Brian Heater
17,Google launches the $499 Pixel 4a 5G,https://search.techcrunch.com/click/_ylt=AwrE19jD0c1gbiIAG3OnBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130115/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2020%2f09%2f30%2fgoogle-launches-the-499-pixel-4a-5g%2f/RK=2/RS=byXWJciJLR8uG6i1QxzvgZ5njzM-,By Frederic Lardinois
18,The 5G version of Samsung’s Galaxy Tab S7 starts at $850 and arrives September 18,https://search.techcrunch.com/click/_ylt=AwrE19jD0c1gbiIAHXOnBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130115/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2020%2f09%2f01%2fthe-5g-version-of-samsungs-galaxy-tab-s7-starts-at-850-and-arrives-september-18%2f/RK=2/RS=NsAgBKPJTtfw0otE2MvUG0wLTRg-,By Brian Heater
19,"Known for 5G mmWave testing solutions, Taiwan's TMYTEK sets its sights on base stations",https://search.techcrunch.com/click/_ylt=AwrE19jD0c1gbiIAH3OnBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130115/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2021%2f01%2f04%2fknown-for-5g-mmwave-testing-solutions-taiwans-tmytek-sets-its-sights-on-base-stations%2f/RK=2/RS=nJgOy0ojoyymp.ZEwZHWCpHOjIg-,By Catherine Shu
20,"Known for 5G mmWave testing solutions, Taiwan's TMYTEK sets its sights on base stations",https://search.techcrunch.com/click/_ylt=AwrE1xjF0c1gzlkAFgKnBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130117/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2021%2f01%2f04%2fknown-for-5g-mmwave-testing-solutions-taiwans-tmytek-sets-its-sights-on-base-stations%2f/RK=2/RS=iIKCOsOhkP3LJxthNa.td5_JGAM-,By Catherine Shu
21,Google’s Pixel 5 gets reverse wireless charging and 5G for $699,https://search.techcrunch.com/click/_ylt=AwrE1xjF0c1gzlkAGAKnBWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1624130117/RO=10/RU=https%3a%2f%2ftechcrunch.com%2f2020%2f09%2f30%2fgoogles-pixel-5-get-reverse-wireless-charging-and-5g-for-699%2f/RK=2/RS=gnbuyHBe3pcI63qGyRaWV6J0E_U-,By Brian Heater
